epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,31.5088,0.92071,3.95649,0.93897,0,0,0,0,1.25276,5.0467,1.18403,0.00021502,0.00021502,0.00021502
28,32.7088,1.05414,3.99486,1.00297,0,0,0,0,1.25276,5.0467,1.18403,0.000222278,0.000222278,0.000222278
29,33.7462,0.69181,7.19852,0.64699,0.05455,0.03409,0.04198,0.02086,1.40654,4.68674,1.1743,0.000229478,0.000229478,0.000229478
30,35.0082,1.19105,4.39621,1.11217,0.05455,0.03409,0.04198,0.02086,1.40654,4.68674,1.1743,0.000236619,0.000236619,0.000236619
31,36.3327,0.89224,4.15388,0.92189,0.05455,0.03409,0.04198,0.02086,1.40654,4.68674,1.1743,0.000243702,0.000243702,0.000243702
32,37.6142,0.87754,4.13458,0.98635,0.05455,0.03409,0.04198,0.02086,1.40654,4.68674,1.1743,0.000250728,0.000250728,0.000250728
33,39.007,0.99562,3.72132,1.00283,0.05455,0.03409,0.04198,0.02086,1.40654,4.68674,1.1743,0.000257695,0.000257695,0.000257695
34,40.3538,0.8857,3.77873,0.95772,0.03756,0.34091,0.09644,0.05759,1.44127,4.28589,1.13206,0.000261983,0.000261983,0.000261983
35,41.5808,0.88609,3.58569,0.96905,0.03756,0.34091,0.09644,0.05759,1.44127,4.28589,1.13206,0.000261013,0.000261013,0.000261013
36,43.0192,0.95796,3.65256,0.95573,0.03756,0.34091,0.09644,0.05759,1.44127,4.28589,1.13206,0.000260043,0.000260043,0.000260043
37,44.5018,0.96119,3.90629,0.93906,0.03756,0.34091,0.09644,0.05759,1.44127,4.28589,1.13206,0.000259073,0.000259073,0.000259073
38,45.7511,0.83384,4.03563,0.97823,0.03756,0.34091,0.09644,0.05759,1.44127,4.28589,1.13206,0.000258103,0.000258103,0.000258103
39,46.9788,0.88019,3.68108,1.02183,0.03756,0.34091,0.09644,0.05759,1.44127,4.28589,1.13206,0.000257132,0.000257132,0.000257132
40,48.3202,0.87624,3.3457,0.94157,0.05139,0.56818,0.14789,0.08302,1.39696,4.10939,1.11071,0.000256162,0.000256162,0.000256162
41,49.5512,0.86334,4.38316,0.98737,0.05139,0.56818,0.14789,0.08302,1.39696,4.10939,1.11071,0.000255192,0.000255192,0.000255192
42,50.9048,1.13242,4.62613,1.14052,0.05139,0.56818,0.14789,0.08302,1.39696,4.10939,1.11071,0.000254222,0.000254222,0.000254222
43,52.2106,1.09787,4.09789,1.12217,0.05139,0.56818,0.14789,0.08302,1.39696,4.10939,1.11071,0.000253252,0.000253252,0.000253252
44,53.4112,0.90482,3.58256,0.9809,0.05139,0.56818,0.14789,0.08302,1.39696,4.10939,1.11071,0.000252281,0.000252281,0.000252281
45,54.7285,1.03045,4.53891,1.02755,0.03864,0.61364,0.13075,0.0813,1.41947,4.14356,1.10827,0.000251311,0.000251311,0.000251311
46,55.9539,0.84375,3.88644,0.94751,0.03864,0.61364,0.13075,0.0813,1.41947,4.14356,1.10827,0.000250341,0.000250341,0.000250341
47,57.1591,1.00334,3.96774,0.97924,0.03864,0.61364,0.13075,0.0813,1.41947,4.14356,1.10827,0.000249371,0.000249371,0.000249371
48,58.3718,1.15882,3.82825,1.28948,0.03864,0.61364,0.13075,0.0813,1.41947,4.14356,1.10827,0.000248401,0.000248401,0.000248401
49,59.745,0.99377,3.69263,1.02303,0.03864,0.61364,0.13075,0.0813,1.41947,4.14356,1.10827,0.00024743,0.00024743,0.00024743
50,61.118,0.96195,3.66128,0.9982,0.0403,0.61364,0.12633,0.07678,1.47399,4.21625,1.12855,0.00024646,0.00024646,0.00024646
51,62.6696,0.88977,3.66064,1.00666,0.0403,0.61364,0.12633,0.07678,1.47399,4.21625,1.12855,0.00024549,0.00024549,0.00024549
52,64.157,1.06889,3.85117,1.16117,0.0403,0.61364,0.12633,0.07678,1.47399,4.21625,1.12855,0.00024452,0.00024452,0.00024452
53,65.3648,0.81432,2.90024,0.95318,0.0403,0.61364,0.12633,0.07678,1.47399,4.21625,1.12855,0.00024355,0.00024355,0.00024355
54,66.5738,0.92268,3.23062,1.01737,0.0403,0.61364,0.12633,0.07678,1.47399,4.21625,1.12855,0.000242579,0.000242579,0.000242579
55,67.6861,0.80257,3.55813,0.94194,0.0403,0.61364,0.12633,0.07678,1.47399,4.21625,1.12855,0.000241609,0.000241609,0.000241609
56,68.9029,0.61508,7.36116,0.69562,0.04156,0.61364,0.12837,0.07127,1.60429,4.11684,1.18646,0.000240639,0.000240639,0.000240639
57,70.1241,0.91946,3.08253,1.01863,0.04156,0.61364,0.12837,0.07127,1.60429,4.11684,1.18646,0.000239669,0.000239669,0.000239669
58,71.2861,0.78033,4.22551,0.99606,0.04156,0.61364,0.12837,0.07127,1.60429,4.11684,1.18646,0.000238699,0.000238699,0.000238699
59,72.461,0.79097,3.16724,0.96299,0.04156,0.61364,0.12837,0.07127,1.60429,4.11684,1.18646,0.000237728,0.000237728,0.000237728
60,73.9338,0.91949,3.83835,1.01151,0.04156,0.61364,0.12837,0.07127,1.60429,4.11684,1.18646,0.000236758,0.000236758,0.000236758
61,75.2498,0.66973,4.2112,0.97208,0.04978,0.61364,0.1293,0.06621,1.697,4.00553,1.24232,0.000235788,0.000235788,0.000235788
62,76.495,0.7899,3.44784,0.95234,0.04978,0.61364,0.1293,0.06621,1.697,4.00553,1.24232,0.000234818,0.000234818,0.000234818
63,78.0625,0.9016,3.07146,1.00675,0.04978,0.61364,0.1293,0.06621,1.697,4.00553,1.24232,0.000233848,0.000233848,0.000233848
64,79.3049,0.91158,5.36976,0.91103,0.04978,0.61364,0.1293,0.06621,1.697,4.00553,1.24232,0.000232877,0.000232877,0.000232877
65,80.468,0.92372,3.7075,1.07015,0.04978,0.61364,0.1293,0.06621,1.697,4.00553,1.24232,0.000231907,0.000231907,0.000231907
66,81.7412,0.7796,3.18092,0.9396,0.05734,0.61364,0.132,0.06961,1.73848,3.94774,1.2964,0.000230937,0.000230937,0.000230937
67,83.1142,0.801,2.91734,0.97041,0.05734,0.61364,0.132,0.06961,1.73848,3.94774,1.2964,0.000229967,0.000229967,0.000229967
68,84.3115,0.72273,2.80713,0.93302,0.05734,0.61364,0.132,0.06961,1.73848,3.94774,1.2964,0.000228997,0.000228997,0.000228997
69,85.4999,0.6616,3.83616,0.9354,0.05734,0.61364,0.132,0.06961,1.73848,3.94774,1.2964,0.000228026,0.000228026,0.000228026
70,86.7902,0.54438,7.02729,0.67642,0.05734,0.61364,0.132,0.06961,1.73848,3.94774,1.2964,0.000227056,0.000227056,0.000227056
71,87.8491,0.82091,3.15102,0.91673,0.05734,0.61364,0.132,0.06961,1.73848,3.94774,1.2964,0.000226086,0.000226086,0.000226086
72,89.1665,0.79735,2.98378,0.96783,0.04906,0.56818,0.12213,0.06474,1.71362,3.89327,1.321,0.000225116,0.000225116,0.000225116
73,90.5177,0.88623,2.98038,0.99976,0.04906,0.56818,0.12213,0.06474,1.71362,3.89327,1.321,0.000224146,0.000224146,0.000224146
74,91.7722,0.90098,2.89129,1.00862,0.04906,0.56818,0.12213,0.06474,1.71362,3.89327,1.321,0.000223175,0.000223175,0.000223175
75,92.925,1.11514,4.59221,0.92321,0.04906,0.56818,0.12213,0.06474,1.71362,3.89327,1.321,0.000222205,0.000222205,0.000222205
76,94.1291,0.72355,2.85327,0.85633,0.04906,0.56818,0.12213,0.06474,1.71362,3.89327,1.321,0.000221235,0.000221235,0.000221235
77,95.2218,0.79014,2.96034,0.95556,0.05431,0.58333,0.14677,0.07856,1.65683,3.86969,1.30967,0.000220265,0.000220265,0.000220265
78,96.4103,0.76297,2.67946,0.89958,0.05431,0.58333,0.14677,0.07856,1.65683,3.86969,1.30967,0.000219295,0.000219295,0.000219295
79,97.5442,0.89711,3.10904,1.06326,0.05431,0.58333,0.14677,0.07856,1.65683,3.86969,1.30967,0.000218324,0.000218324,0.000218324
80,98.6841,0.70899,2.91966,0.96125,0.05431,0.58333,0.14677,0.07856,1.65683,3.86969,1.30967,0.000217354,0.000217354,0.000217354
81,100.121,0.73328,2.87342,0.90969,0.05431,0.58333,0.14677,0.07856,1.65683,3.86969,1.30967,0.000216384,0.000216384,0.000216384
82,101.518,0.6773,2.63362,0.94212,0.05587,0.58333,0.17717,0.10111,1.60293,3.84773,1.28697,0.000215414,0.000215414,0.000215414
83,102.773,0.60843,2.48517,0.92073,0.05587,0.58333,0.17717,0.10111,1.60293,3.84773,1.28697,0.000214444,0.000214444,0.000214444
84,104.071,0.7268,2.70149,0.96221,0.05587,0.58333,0.17717,0.10111,1.60293,3.84773,1.28697,0.000213473,0.000213473,0.000213473
85,105.291,0.60171,2.50694,0.85826,0.05587,0.58333,0.17717,0.10111,1.60293,3.84773,1.28697,0.000212503,0.000212503,0.000212503
86,106.586,0.78061,2.74151,0.94804,0.05587,0.58333,0.17717,0.10111,1.60293,3.84773,1.28697,0.000211533,0.000211533,0.000211533
87,107.76,0.82762,3.55985,0.93393,0.05587,0.58333,0.17717,0.10111,1.60293,3.84773,1.28697,0.000210563,0.000210563,0.000210563
